Char & codepoint,Comments,Classic,MavenProSmall,amh18,bigfont,bigupper,chalkboard,chickn24,handwriting_institute,handwriting_neat,smallfont,symbols,threefiv,typewriter
\ - 005C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005C.png,✓,✓
] - 005D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005D.png,✓,✓
_ - 005F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005F.png,✓,✓
` - 0060,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0060.png,✓,✓
a - 0061,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0061.png,✓,✓
b - 0062,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0062.png,✓,✓
c - 0063,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0063.png,✓,✓
d - 0064,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0064.png,✓,✓
e - 0065,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0065.png,✓,✓
f - 0066,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0066.png,✓,✓
g - 0067,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0067.png,✓,✓
h - 0068,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0068.png,✓,✓
i - 0069,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0069.png,✓,✓
j - 006A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 006A.png,✓,✓
k - 006B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 006B.png,✓,✓
l - 006C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 006C.png,✓,✓
m - 006D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 006D.png,✓,✓
n - 006E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 006E.png,✓,✓
o - 006F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 006F.png,✓,✓
p - 0070,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0070.png,✓,✓
q - 0071,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0071.png,✓,✓
r - 0072,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0072.png,✓,✓
s - 0073,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0073.png,✓,✓
t - 0074,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0074.png,✓,✓
u - 0075,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0075.png,✓,✓
v - 0076,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0076.png,✓,✓
w - 0077,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0077.png,✓,✓
x - 0078,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0078.png,✓,✓
y - 0079,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0079.png,✓,✓
z - 007A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 007A.png,✓,✓
| - 007C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 007C.png,✓,✓
¡ - 00A1,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00A1.png,U -> 00A1.png,✓
ª - 00AA,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00AA.png,U -> 00AA.png,✓
° - 00B0,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00B0.png,U -> 00B0.png,✓
º - 00BA,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00BA.png,U -> 00BA.png,✓
¿ - 00BF,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00BF.png,U -> 00BF.png,✓
À - 00C0,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C0.png,U -> 00C0.png,✓
Á - 00C1,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C1.png,✓,✓
Â - 00C2,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C2.png,U -> 00C2.png,✓
Ã - 00C3,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C3.png,U -> 00C3.png,✓
Ä - 00C4,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C4.png,✓,✓
Ç - 00C7,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C7.png,U -> 00C7.png,✓
È - 00C8,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C8.png,U -> 00C8.png,✓
É - 00C9,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00C9.png,✓,✓
Ê - 00CA,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00CA.png,U -> 00CA.png,✓
Ë - 00CB,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00CB.png,U -> 00CB.png,✓
Ì - 00CC,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00CC.png,U -> 00CC.png,✓
Í - 00CD,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00CD.png,✓,✓
Î - 00CE,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00CE.png,U -> 00CE.png,✓
Ï - 00CF,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00CF.png,U -> 00CF.png,✓
Ñ - 00D1,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00D1.png,U -> 00D1.png,✓
Ò - 00D2,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00D2.png,U -> 00D2.png,✓
Ó - 00D3,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00D3.png,✓,✓
Ô - 00D4,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00D4.png,U -> 00D4.png,✓
Õ - 00D5,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00D5.png,U -> 00D5.png,✓
Ö - 00D6,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00D6.png,✓,✓
Ù - 00D9,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 00D9.png,U -> 00D9.png,✓
